Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),Distance (Km),whether he/she donated blood in Februry 2022
2,50,12500,98,2.8,1
0,13,3250,28,4.3,1
1,16,4000,35,4.1,1
2,20,5000,45,2.8,1
1,24,6000,77,10.9,0
4,4,1000,4,17,0
2,7,1750,14,4.4,1
1,12,3000,35,10,0
2,9,2250,22,3.9,1
5,46,11500,98,2.5,1
4,23,5750,58,6.9,0
0,3,750,4,18.2,0
2,10,2500,28,4.4,1
1,13,3250,47,19.5,0
2,6,1500,15,0.5,1
2,5,1250,11,0.8,1
2,14,3500,48,2.7,1
2,15,3750,49,4.2,1
2,6,1500,15,3.1,1
2,3,750,4,5.8,1
2,3,750,4,3.5,1
4,11,2750,28,13.1,0
2,6,1500,16,5.7,1
2,6,1500,16,2.4,1
9,9,2250,16,10.2,0
4,14,3500,40,2,0
4,6,1500,14,7.1,0
4,12,3000,34,3.7,1
4,5,1250,11,3.4,1
4,8,2000,21,13.9,0
1,14,3500,58,10.7,0
4,10,2500,28,0.8,1
4,10,2500,28,5.8,1
4,9,2250,26,5.4,1
2,16,4000,64,13,0
2,8,2000,28,5.3,1
2,12,3000,47,0.3,1
4,6,1500,16,0.5,1
2,14,3500,57,5.3,1
4,7,1750,22,4.2,1
2,13,3250,53,3.3,1
2,5,1250,16,3.5,0
2,5,1250,16,0.4,1
2,5,1250,16,8.1,0
4,20,5000,69,5.8,1
4,9,2250,28,4.1,1
2,9,2250,36,3.9,0
2,2,500,2,19.2,0
2,2,500,2,3.5,0
2,2,500,2,7.7,0
2,11,2750,46,10.5,0
2,11,2750,46,2.2,1
2,6,1500,22,6.2,0
2,12,3000,52,6.7,0
4,5,1250,14,2.7,1
4,19,4750,69,3.9,1
4,8,2000,26,3.9,1
2,7,1750,28,0.9,1
2,16,4000,81,9.7,0
3,6,1500,21,17.3,0
2,7,1750,29,14.1,0
2,8,2000,35,5.3,1
2,10,2500,49,2.7,0
4,5,1250,16,2.6,1
2,3,750,9,3.2,1
3,16,4000,74,14,0
2,4,1000,14,3.4,1
0,2,500,4,18.6,0
4,7,1750,25,0.4,0
1,9,2250,51,12.6,0
2,4,1000,16,13.8,0
2,4,1000,16,7,0
4,17,4250,71,1.7,1
2,2,500,4,7.9,0
2,2,500,4,1.1,1
2,2,500,4,4.5,1
2,4,1000,16,2.8,1
2,2,500,4,12,0
2,2,500,4,4.6,0
2,2,500,4,10.8,0
4,6,1500,23,1.6,1
2,4,1000,16,16.2,0
2,4,1000,16,11.2,0
2,4,1000,16,18.5,0
2,6,1500,28,5.8,1
2,6,1500,28,1,0
4,2,500,4,12.4,0
4,2,500,4,5.9,0
4,2,500,4,7.5,0
2,7,1750,35,0.1,1
4,2,500,4,2.7,1
4,2,500,4,7.2,0
4,2,500,4,0.6,0
4,2,500,4,6.3,0
12,11,2750,23,14.7,0
4,7,1750,28,6.5,0
3,17,4250,86,12.5,0
4,9,2250,38,4.3,1
4,4,1000,14,4.9,1
5,7,1750,26,4.1,1
4,8,2000,34,2.6,1
2,13,3250,76,3.4,1
4,9,2250,40,13,0
2,5,1250,26,5.8,0
2,5,1250,26,19.4,0
6,17,4250,70,0.5,0
0,8,2000,59,11.9,0
3,5,1250,26,18.9,0
2,3,750,14,19.5,0
2,10,2500,64,10.7,0
4,5,1250,23,5.1,1
4,9,2250,46,8.3,0
4,5,1250,23,20,0
4,8,2000,40,4.7,1
2,12,3000,82,16.4,0
11,24,6000,64,13.4,0
2,7,1750,46,0.1,1
4,11,2750,61,2.8,0
1,7,1750,57,8.3,0
2,11,2750,79,3.1,1
2,3,750,16,5,1
4,5,1250,26,1.9,1
2,6,1500,41,4.3,1
2,5,1250,33,5.5,1
2,4,1000,26,5.3,0
2,5,1250,34,2,0
4,8,2000,46,1,1
2,4,1000,26,1,0
4,8,2000,48,3.1,1
2,2,500,10,3.9,1
4,5,1250,28,16.2,0
2,12,3000,95,1.7,0
2,2,500,10,15.1,0
4,6,1500,35,19.9,0
2,11,2750,88,19.2,0
2,3,750,19,1.6,0
2,5,1250,37,7.7,0
2,12,3000,98,9.7,0
9,5,1250,19,5.9,0
2,2,500,11,14.1,0
2,9,2250,74,0.2,0
5,14,3500,86,1,0
4,3,750,16,1.3,0
4,3,750,16,11.9,0
4,2,500,9,0.6,1
4,3,750,16,5.7,1
6,3,750,14,4.2,0
2,2,500,11,9.1,0
2,2,500,11,4.2,1
2,2,500,11,2.7,0
2,7,1750,58,1.4,1
4,6,1500,39,4.6,0
4,11,2750,78,12,0
2,1,250,2,0.3,1
2,1,250,2,18,0
2,1,250,2,14.2,0
2,1,250,2,5.1,0
2,1,250,2,9.2,0
2,1,250,2,5.8,0
2,1,250,2,9.4,0
2,1,250,2,11.7,0
2,1,250,2,14.7,0
2,1,250,2,20,0
2,1,250,2,3.8,1
2,1,250,2,4.2,1
2,1,250,2,2.6,1
2,1,250,2,6.1,0
2,1,250,2,19.7,0
2,1,250,2,19.2,0
2,1,250,2,3.5,0
2,1,250,2,5,0
2,1,250,2,16.5,0
2,1,250,2,18.1,0
